delomrade,lan,latitud,longitud,groda,sort,jordart,sadatum,skordear,graderingsdatum,graderingstyp,forforfrukt,forfrukt,ekologisk,plojt,utvecklingsstadium,Bladfläcksvampar,Gulrost,Svartpricksjuka,Sädesbladlus
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-05-29,Veckovis,,Höstvete,False,,37,0.0,0.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-05-29,Veckovis,,Höstvete,False,,41,0.0,0.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-05-29,Veckovis,,Höstvete,False,,41,0.0,0.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-06-05,Veckovis,,Höstvete,False,,51,0.0,26.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-06-05,Veckovis,,Höstvete,False,,47,4.0,0.0,4.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-06-05,Veckovis,,Höstvete,False,,51,0.0,8.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-06-05,Veckovis,,Höstvete,False,,49,0.0,0.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-06-12,Veckovis,,Höstvete,False,,61,0.0,34.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-06-12,Veckovis,,Höstvete,False,,59,0.0,0.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-06-12,Veckovis,,Höstvete,False,,61,0.0,20.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-06-12,Veckovis,,Höstvete,False,,61,0.0,4.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-06-19,Veckovis,,Höstvete,False,,69,0.0,80.0,0.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Mariboss,,2016-09-25,2017,2017-06-19,Veckovis,,Höstvete,False,,65,16.0,0.0,16.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Praktik,,2016-09-25,2017,2017-06-19,Veckovis,,Höstvete,False,,65,8.0,24.0,8.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Torp,,2016-09-25,2017,2017-06-19,Veckovis,,Höstvete,False,,71,4.0,4.0,4.0,
SV Skåne,Skåne län,6135000,397000,Höstvete,Elixer,,2016-09-25,2017,2017-06-26,Veckovis,,Höstvete,False,,75,16.0,80.0,0.0,
